product_id,title,description,category
47,Electronics Item 47,"A electronics product (id=47) — useful, well-reviewed and popular among electronics shoppers.",electronics
48,Electronics Item 48,"A electronics product (id=48) — useful, well-reviewed and popular among electronics shoppers.",electronics
49,Fashion Item 49,"A fashion product (id=49) — useful, well-reviewed and popular among fashion shoppers.",fashion
50,Toys Item 50,"A toys product (id=50) — useful, well-reviewed and popular among toys shoppers.",toys
51,Home Item 51,"A home product (id=51) — useful, well-reviewed and popular among home shoppers.",home
52,Books Item 52,"A books product (id=52) — useful, well-reviewed and popular among books shoppers.",books
53,Sports Item 53,"A sports product (id=53) — useful, well-reviewed and popular among sports shoppers.",sports
54,Sports Item 54,"A sports product (id=54) — useful, well-reviewed and popular among sports shoppers.",sports
55,Sports Item 55,"A sports product (id=55) — useful, well-reviewed and popular among sports shoppers.",sports
56,Sports Item 56,"A sports product (id=56) — useful, well-reviewed and popular among sports shoppers.",sports
57,Sports Item 57,"A sports product (id=57) — useful, well-reviewed and popular among sports shoppers.",sports
58,Home Item 58,"A home product (id=58) — useful, well-reviewed and popular among home shoppers.",home
59,Sports Item 59,"A sports product (id=59) — useful, well-reviewed and popular among sports shoppers.",sports
60,Sports Item 60,"A sports product (id=60) — useful, well-reviewed and popular among sports shoppers.",sports
61,Home Item 61,"A home product (id=61) — useful, well-reviewed and popular among home shoppers.",home
62,Toys Item 62,"A toys product (id=62) — useful, well-reviewed and popular among toys shoppers.",toys
63,Home Item 63,"A home product (id=63) — useful, well-reviewed and popular among home shoppers.",home
64,Fashion Item 64,"A fashion product (id=64) — useful, well-reviewed and popular among fashion shoppers.",fashion
65,Sports Item 65,"A sports product (id=65) — useful, well-reviewed and popular among sports shoppers.",sports
66,Electronics Item 66,"A electronics product (id=66) — useful, well-reviewed and popular among electronics shoppers.",electronics
67,Sports Item 67,"A sports product (id=67) — useful, well-reviewed and popular among sports shoppers.",sports
68,Toys Item 68,"A toys product (id=68) — useful, well-reviewed and popular among toys shoppers.",toys
69,Sports Item 69,"A sports product (id=69) — useful, well-reviewed and popular among sports shoppers.",sports
70,Sports Item 70,"A sports product (id=70) — useful, well-reviewed and popular among sports shoppers.",sports
71,Toys Item 71,"A toys product (id=71) — useful, well-reviewed and popular among toys shoppers.",toys
72,Sports Item 72,"A sports product (id=72) — useful, well-reviewed and popular among sports shoppers.",sports
73,Fashion Item 73,"A fashion product (id=73) — useful, well-reviewed and popular among fashion shoppers.",fashion
74,Books Item 74,"A books product (id=74) — useful, well-reviewed and popular among books shoppers.",books
75,Books Item 75,"A books product (id=75) — useful, well-reviewed and popular among books shoppers.",books
76,Sports Item 76,"A sports product (id=76) — useful, well-reviewed and popular among sports shoppers.",sports
77,Toys Item 77,"A toys product (id=77) — useful, well-reviewed and popular among toys shoppers.",toys
78,Electronics Item 78,"A electronics product (id=78) — useful, well-reviewed and popular among electronics shoppers.",electronics
79,Toys Item 79,"A toys product (id=79) — useful, well-reviewed and popular among toys shoppers.",toys
80,Toys Item 80,"A toys product (id=80) — useful, well-reviewed and popular among toys shoppers.",toys
81,Fashion Item 81,"A fashion product (id=81) — useful, well-reviewed and popular among fashion shoppers.",fashion
82,Toys Item 82,"A toys product (id=82) — useful, well-reviewed and popular among toys shoppers.",toys
83,Electronics Item 83,"A electronics product (id=83) — useful, well-reviewed and popular among electronics shoppers.",electronics
84,Fashion Item 84,"A fashion product (id=84) — useful, well-reviewed and popular among fashion shoppers.",fashion
85,Home Item 85,"A home product (id=85) — useful, well-reviewed and popular among home shoppers.",home
86,Fashion Item 86,"A fashion product (id=86) — useful, well-reviewed and popular among fashion shoppers.",fashion
87,Fashion Item 87,"A fashion product (id=87) — useful, well-reviewed and popular among fashion shoppers.",fashion
88,Fashion Item 88,"A fashion product (id=88) — useful, well-reviewed and popular among fashion shoppers.",fashion
89,Fashion Item 89,"A fashion product (id=89) — useful, well-reviewed and popular among fashion shoppers.",fashion
90,Fashion Item 90,"A fashion product (id=90) — useful, well-reviewed and popular among fashion shoppers.",fashion
91,Home Item 91,"A home product (id=91) — useful, well-reviewed and popular among home shoppers.",home
92,Toys Item 92,"A toys product (id=92) — useful, well-reviewed and popular among toys shoppers.",toys
93,Home Item 93,"A home product (id=93) — useful, well-reviewed and popular among home shoppers.",home
94,Home Item 94,"A home product (id=94) — useful, well-reviewed and popular among home shoppers.",home
95,Fashion Item 95,"A fashion product (id=95) — useful, well-reviewed and popular among fashion shoppers.",fashion
96,Fashion Item 96,"A fashion product (id=96) — useful, well-reviewed and popular among fashion shoppers.",fashion
97,Electronics Item 97,"A electronics product (id=97) — useful, well-reviewed and popular among electronics shoppers.",electronics
98,Home Item 98,"A home product (id=98) — useful, well-reviewed and popular among home shoppers.",home
99,Toys Item 99,"A toys product (id=99) — useful, well-reviewed and popular among toys shoppers.",toys
100,Books Item 100,"A books product (id=100) — useful, well-reviewed and popular among books shoppers.",books
101,Electronics Item 101,"A electronics product (id=101) — useful, well-reviewed and popular among electronics shoppers.",electronics
102,Home Item 102,"A home product (id=102) — useful, well-reviewed and popular among home shoppers.",home
103,Sports Item 103,"A sports product (id=103) — useful, well-reviewed and popular among sports shoppers.",sports
104,Toys Item 104,"A toys product (id=104) — useful, well-reviewed and popular among toys shoppers.",toys
105,Sports Item 105,"A sports product (id=105) — useful, well-reviewed and popular among sports shoppers.",sports
106,Fashion Item 106,"A fashion product (id=106) — useful, well-reviewed and popular among fashion shoppers.",fashion
107,Fashion Item 107,"A fashion product (id=107) — useful, well-reviewed and popular among fashion shoppers.",fashion
108,Toys Item 108,"A toys product (id=108) — useful, well-reviewed and popular among toys shoppers.",toys
109,Electronics Item 109,"A electronics product (id=109) — useful, well-reviewed and popular among electronics shoppers.",electronics
110,Electronics Item 110,"A electronics product (id=110) — useful, well-reviewed and popular among electronics shoppers.",electronics
111,Home Item 111,"A home product (id=111) — useful, well-reviewed and popular among home shoppers.",home
112,Sports Item 112,"A sports product (id=112) — useful, well-reviewed and popular among sports shoppers.",sports
113,Toys Item 113,"A toys product (id=113) — useful, well-reviewed and popular among toys shoppers.",toys
114,Toys Item 114,"A toys product (id=114) — useful, well-reviewed and popular among toys shoppers.",toys
115,Home Item 115,"A home product (id=115) — useful, well-reviewed and popular among home shoppers.",home
116,Toys Item 116,"A toys product (id=116) — useful, well-reviewed and popular among toys shoppers.",toys
117,Books Item 117,"A books product (id=117) — useful, well-reviewed and popular among books shoppers.",books
118,Toys Item 118,"A toys product (id=118) — useful, well-reviewed and popular among toys shoppers.",toys
119,Sports Item 119,"A sports product (id=119) — useful, well-reviewed and popular among sports shoppers.",sports
120,Books Item 120,"A books product (id=120) — useful, well-reviewed and popular among books shoppers.",books
121,Fashion Item 121,"A fashion product (id=121) — useful, well-reviewed and popular among fashion shoppers.",fashion
122,Toys Item 122,"A toys product (id=122) — useful, well-reviewed and popular among toys shoppers.",toys
123,Home Item 123,"A home product (id=123) — useful, well-reviewed and popular among home shoppers.",home
124,Electronics Item 124,"A electronics product (id=124) — useful, well-reviewed and popular among electronics shoppers.",electronics
125,Books Item 125,"A books product (id=125) — useful, well-reviewed and popular among books shoppers.",books
126,Home Item 126,"A home product (id=126) — useful, well-reviewed and popular among home shoppers.",home
127,Books Item 127,"A books product (id=127) — useful, well-reviewed and popular among books shoppers.",books
128,Sports Item 128,"A sports product (id=128) — useful, well-reviewed and popular among sports shoppers.",sports
129,Fashion Item 129,"A fashion product (id=129) — useful, well-reviewed and popular among fashion shoppers.",fashion
130,Electronics Item 130,"A electronics product (id=130) — useful, well-reviewed and popular among electronics shoppers.",electronics
131,Books Item 131,"A books product (id=131) — useful, well-reviewed and popular among books shoppers.",books
132,Electronics Item 132,"A electronics product (id=132) — useful, well-reviewed and popular among electronics shoppers.",electronics
133,Electronics Item 133,"A electronics product (id=133) — useful, well-reviewed and popular among electronics shoppers.",electronics
134,Books Item 134,"A books product (id=134) — useful, well-reviewed and popular among books shoppers.",books
135,Electronics Item 135,"A electronics product (id=135) — useful, well-reviewed and popular among electronics shoppers.",electronics
136,Books Item 136,"A books product (id=136) — useful, well-reviewed and popular among books shoppers.",books
137,Toys Item 137,"A toys product (id=137) — useful, well-reviewed and popular among toys shoppers.",toys
138,Fashion Item 138,"A fashion product (id=138) — useful, well-reviewed and popular among fashion shoppers.",fashion
139,Toys Item 139,"A toys product (id=139) — useful, well-reviewed and popular among toys shoppers.",toys
140,Toys Item 140,"A toys product (id=140) — useful, well-reviewed and popular among toys shoppers.",toys
141,Sports Item 141,"A sports product (id=141) — useful, well-reviewed and popular among sports shoppers.",sports
142,Toys Item 142,"A toys product (id=142) — useful, well-reviewed and popular among toys shoppers.",toys
143,Sports Item 143,"A sports product (id=143) — useful, well-reviewed and popular among sports shoppers.",sports
144,Fashion Item 144,"A fashion product (id=144) — useful, well-reviewed and popular among fashion shoppers.",fashion
145,Toys Item 145,"A toys product (id=145) — useful, well-reviewed and popular among toys shoppers.",toys
146,Electronics Item 146,"A electronics product (id=146) — useful, well-reviewed and popular among electronics shoppers.",electronics
147,Toys Item 147,"A toys product (id=147) — useful, well-reviewed and popular among toys shoppers.",toys
148,Books Item 148,"A books product (id=148) — useful, well-reviewed and popular among books shoppers.",books
149,Home Item 149,"A home product (id=149) — useful, well-reviewed and popular among home shoppers.",home
150,Fashion Item 150,"A fashion product (id=150) — useful, well-reviewed and popular among fashion shoppers.",fashion
151,Toys Item 151,"A toys product (id=151) — useful, well-reviewed and popular among toys shoppers.",toys
152,Sports Item 152,"A sports product (id=152) — useful, well-reviewed and popular among sports shoppers.",sports
153,Books Item 153,"A books product (id=153) — useful, well-reviewed and popular among books shoppers.",books
154,Toys Item 154,"A toys product (id=154) — useful, well-reviewed and popular among toys shoppers.",toys
155,Sports Item 155,"A sports product (id=155) — useful, well-reviewed and popular among sports shoppers.",sports
156,Home Item 156,"A home product (id=156) — useful, well-reviewed and popular among home shoppers.",home
157,Sports Item 157,"A sports product (id=157) — useful, well-reviewed and popular among sports shoppers.",sports
158,Toys Item 158,"A toys product (id=158) — useful, well-reviewed and popular among toys shoppers.",toys
159,Electronics Item 159,"A electronics product (id=159) — useful, well-reviewed and popular among electronics shoppers.",electronics
160,Electronics Item 160,"A electronics product (id=160) — useful, well-reviewed and popular among electronics shoppers.",electronics
161,Books Item 161,"A books product (id=161) — useful, well-reviewed and popular among books shoppers.",books
162,Electronics Item 162,"A electronics product (id=162) — useful, well-reviewed and popular among electronics shoppers.",electronics
163,Sports Item 163,"A sports product (id=163) — useful, well-reviewed and popular among sports shoppers.",sports
164,Home Item 164,"A home product (id=164) — useful, well-reviewed and popular among home shoppers.",home
165,Fashion Item 165,"A fashion product (id=165) — useful, well-reviewed and popular among fashion shoppers.",fashion
166,Books Item 166,"A books product (id=166) — useful, well-reviewed and popular among books shoppers.",books
167,Books Item 167,"A books product (id=167) — useful, well-reviewed and popular among books shoppers.",books
168,Home Item 168,"A home product (id=168) — useful, well-reviewed and popular among home shoppers.",home
169,Fashion Item 169,"A fashion product (id=169) — useful, well-reviewed and popular among fashion shoppers.",fashion
170,Toys Item 170,"A toys product (id=170) — useful, well-reviewed and popular among toys shoppers.",toys
171,Books Item 171,"A books product (id=171) — useful, well-reviewed and popular among books shoppers.",books
172,Books Item 172,"A books product (id=172) — useful, well-reviewed and popular among books shoppers.",books
173,Sports Item 173,"A sports product (id=173) — useful, well-reviewed and popular among sports shoppers.",sports
174,Toys Item 174,"A toys product (id=174) — useful, well-reviewed and popular among toys shoppers.",toys
175,Home Item 175,"A home product (id=175) — useful, well-reviewed and popular among home shoppers.",home
176,Sports Item 176,"A sports product (id=176) — useful, well-reviewed and popular among sports shoppers.",sports
177,Electronics Item 177,"A electronics product (id=177) — useful, well-reviewed and popular among electronics shoppers.",electronics
178,Electronics Item 178,"A electronics product (id=178) — useful, well-reviewed and popular among electronics shoppers.",electronics
179,Toys Item 179,"A toys product (id=179) — useful, well-reviewed and popular among toys shoppers.",toys
180,Electronics Item 180,"A electronics product (id=180) — useful, well-reviewed and popular among electronics shoppers.",electronics
181,Fashion Item 181,"A fashion product (id=181) — useful, well-reviewed and popular among fashion shoppers.",fashion
182,Home Item 182,"A home product (id=182) — useful, well-reviewed and popular among home shoppers.",home
183,Home Item 183,"A home product (id=183) — useful, well-reviewed and popular among home shoppers.",home
184,Toys Item 184,"A toys product (id=184) — useful, well-reviewed and popular among toys shoppers.",toys
185,Books Item 185,"A books product (id=185) — useful, well-reviewed and popular among books shoppers.",books
186,Toys Item 186,"A toys product (id=186) — useful, well-reviewed and popular among toys shoppers.",toys
187,Toys Item 187,"A toys product (id=187) — useful, well-reviewed and popular among toys shoppers.",toys
188,Books Item 188,"A books product (id=188) — useful, well-reviewed and popular among books shoppers.",books
189,Fashion Item 189,"A fashion product (id=189) — useful, well-reviewed and popular among fashion shoppers.",fashion
190,Home Item 190,"A home product (id=190) — useful, well-reviewed and popular among home shoppers.",home
191,Books Item 191,"A books product (id=191) — useful, well-reviewed and popular among books shoppers.",books
192,Books Item 192,"A books product (id=192) — useful, well-reviewed and popular among books shoppers.",books
193,Fashion Item 193,"A fashion product (id=193) — useful, well-reviewed and popular among fashion shoppers.",fashion
194,Electronics Item 194,"A electronics product (id=194) — useful, well-reviewed and popular among electronics shoppers.",electronics
195,Toys Item 195,"A toys product (id=195) — useful, well-reviewed and popular among toys shoppers.",toys
196,Electronics Item 196,"A electronics product (id=196) — useful, well-reviewed and popular among electronics shoppers.",electronics
197,Books Item 197,"A books product (id=197) — useful, well-reviewed and popular among books shoppers.",books
198,Toys Item 198,"A toys product (id=198) — useful, well-reviewed and popular among toys shoppers.",toys
199,Fashion Item 199,"A fashion product (id=199) — useful, well-reviewed and popular among fashion shoppers.",fashion
200,Sports Item 200,"A sports product (id=200) — useful, well-reviewed and popular among sports shoppers.",sports
